Timestamp,Value
1765737351.353916,1
1765737351.353968,1
1765737351.3540182,1
1765737351.3540676,1
1765737351.3541305,1
1765737351.3541975,1
1765737351.354265,1
1765737351.358523,1
1765737351.3586137,1
1765737351.3586793,1
1765737351.3587458,1
1765737351.3588128,1
1765737351.358884,1
1765737351.3589396,1
1765737351.3589916,1
1765737351.3590424,1
1765737351.3590925,1
1765737351.3591988,1
1765737351.3592656,1
1765737351.3593295,1
1765737351.3593924,1
1765737351.3594565,1
1765737351.359557,1
1765737351.3596177,1
1765737351.3596663,1
1765737351.3597136,1
1765737351.3598073,1
1765737351.3639932,1
1765737351.3640928,1
1765737351.364145,1
1765737351.3642638,1
1765737351.3643227,1
1765737351.3643742,1
1765737351.3644211,1
1765737351.3644688,1
1765737351.3645332,1
1765737351.364581,1
1765737351.3646276,1
1765737351.364685,1
1765737351.3647373,1
1765737351.3647845,1
1765737351.364831,1
1765737351.3648841,1
1765737351.3649335,1
1765737351.3649805,1
1765737351.3650393,1
1765737351.3650866,1
1765737351.3651328,1
1765737351.3694997,1
1765737351.3695598,1
1765737351.369607,1
1765737351.369654,1
1765737351.3697023,1
1765737351.3697488,1
1765737351.3697963,1
1765737351.3698428,1
1765737351.3699286,1
1765737351.3699882,1
1765737351.3700364,1
1765737351.3700836,1
1765737351.3701582,1
1765737351.370213,1
1765737351.370261,1
1765737351.3703117,1
1765737351.3703601,1
1765737351.3704069,1
1765737351.3704536,1
1765737351.3705006,1
1765737351.370546,1
1765737351.375045,1
1765737351.3751268,1
1765737351.3751798,1
1765737351.3752294,1
1765737351.3752768,1
1765737351.3753586,1
1765737351.3754115,1
1765737351.3754613,1
1765737351.375511,1
1765737351.3755622,1
1765737351.375612,1
1765737351.375659,1
1765737351.3757057,1
1765737351.3757532,1
1765737351.375801,1
1765737351.3758473,1
1765737351.37594,1
1765737351.375995,1
1765737351.3760448,1
1765737351.3760955,1
1765737351.380498,1
1765737351.380584,1
1765737351.380635,1
1765737351.3806834,1
1765737351.380732,1
1765737351.3807857,1
1765737351.3808334,1
1765737351.3809083,1
1765737351.3809717,1
1765737351.3810198,1
1765737351.3810675,1
1765737351.381114,1
1765737351.3811936,1
1765737351.3812504,1
1765737351.381303,1
1765737351.381353,1
1765737351.3814006,1
1765737351.3814502,1
1765737351.381497,1
1765737351.3815444,1
1765737351.3815904,1
1765737351.3860483,1
1765737351.386118,1
1765737351.3862286,1
1765737351.3862972,1
1765737351.386348,1
1765737351.3864567,1
1765737351.3865201,1
1765737351.3865852,1
1765737351.3866358,1
1765737351.3866832,1
1765737351.3867302,1
1765737351.3867786,1
1765737351.3868773,1
1765737351.3869495,1
1765737351.3869984,1
1765737351.3870459,1
1765737351.387093,1
1765737351.38714,1
1765737351.387187,1
1765737351.3872337,1
1765737351.387281,1
1765737351.391587,1
1765737351.3916547,1
1765737351.3917663,1
1765737351.3918326,1
1765737351.3918822,1
1765737351.3919294,1
1765737351.391989,1
1765737351.3920445,1
1765737351.392096,1
1765737351.392144,1
1765737351.3921936,1
1765737351.3922439,1
1765737351.3922944,1
1765737351.3923426,1
1765737351.392389,1
1765737351.3924851,1
1765737351.3925612,1
1765737351.3926284,1
1765737351.3926945,1
1765737351.3927808,1
1765737351.3970163,1
1765737351.397099,1
1765737351.397148,1
1765737351.3971953,1
1765737351.3972497,1
1765737351.3972986,1
1765737351.397346,1
1765737351.397413,1
1765737351.3974612,1
1765737351.3975077,1
1765737351.3975549,1
1765737351.397602,1
1765737351.3976488,1
1765737351.397711,1
1765737351.3977587,1
1765737351.397805,1
1765737351.397853,1
1765737351.3978999,1
1765737351.3979454,1
1765737351.3980033,1
1765737351.3980517,1
1765737351.4026165,1
1765737351.4026868,1
1765737351.4027364,1
